2024-03-26 17:02:02.162 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-03-26 17:02:02.178 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2024-03-26 17:02:02.186 [main] INFO  c.e.shopapp.ShopappApplication - Started ShopappApplication in 4.843 seconds (process running for 5.561)
2024-03-26 17:02:03.779 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-03-26 17:02:03.781 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-03-26 17:02:03.787 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-03-26 17:02:13.332 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-03-26 17:02:13.365 [main] INFO  c.e.shopapp.ShopappApplication - Starting ShopappApplication using Java 17.0.10 with PID 17212 (E:\WorkSpace\Udemy\Project\shopapp\shopapp\target\classes started by QuyetNM in E:\WorkSpace\Udemy\Project\shopapp\shopapp)
2024-03-26 17:02:13.367 [main] INFO  c.e.shopapp.ShopappApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-26 17:02:13.939 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-26 17:02:14.017 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71 ms. Found 7 JPA repository interfaces.
2024-03-26 17:02:14.485 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2024-03-26 17:02:14.492 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-03-26 17:02:14.493 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-26 17:02:14.493 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-26 17:02:14.574 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-26 17:02:14.574 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1173 ms
2024-03-26 17:02:14.694 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-26 17:02:14.751 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.22.Final
2024-03-26 17:02:14.753 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-03-26 17:02:15.024 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-26 17:02:15.050 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-26 17:02:15.172 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1c6ac73c
2024-03-26 17:02:15.174 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
